"SEQ_ID","CNCI","COME","LncADeep","lncRNAnet","PLEK","RNAmining"
"ENST00000453576.2|ENSG00000238009.6|OTTHUMG00000001096.2|OTTHUMT00000003689.1|RP11-34P13.7-004|RP11-34P13.7|336|",0,0,1,1,0,0
"ENST00000454562.1|ENSG00000225285.1|OTTHUMG00000002915.2|OTTHUMT00000008262.1|LINC01770-204|LINC01770|424|",0,0,1,0,0,0
"ENST00000598846.1|ENSG00000268575.1|OTTHUMG00000183552.1|OTTHUMT00000467163.1|RP1-283E3.8-001|RP1-283E3.8|5079|",1,1,1,1,1,0
"ENST00000412228.1|ENSG00000231050.1|OTTHUMG00000000941.1|OTTHUMT00000002766.1|RP1-140A9.1-001|RP1-140A9.1|906|",0,0,1,0,0,0
"ENST00000429389.1|ENSG00000231630.1|OTTHUMG00000000565.1|OTTHUMT00000001338.1|RP11-740P5.3-001|RP11-740P5.3|429|",0,0,1,0,0,0
"ENST00000416554.1|ENSG00000235131.1|OTTHUMG00000003412.1|OTTHUMT00000009554.1|TP73-AS2-201|TP73-AS2|351|",0,1,1,0,0,0
"ENST00000437157.3|ENSG00000228526.7|OTTHUMG00000001762.6|OTTHUMT00000487981.2|MIR34AHG-201|MIR34AHG|409|",0,0,1,0,0,1
"ENST00000607572.1|ENSG00000271989.1|OTTHUMG00000185648.1|OTTHUMT00000470922.1|RP4-736L20.3-001|RP4-736L20.3|797|",0,0,1,0,0,0
"ENST00000431027.1|ENSG00000227066.2|OTTHUMG00000002703.3|OTTHUMT00000007686.1|RP3-340N1.2-002|RP3-340N1.2|2493|",0,0,1,0,0,0
"ENST00000650360.1|ENSG00000285959.1|OTTHUMG00000193407.1|OTTHUMT00000501565.1|RP1-224A6.11-002|RP1-224A6.11|1469|",1,0,1,1,1,0
"ENST00000648697.1|ENSG00000285959.1|OTTHUMG00000193407.1|OTTHUMT00000501566.1|RP1-224A6.11-001|RP1-224A6.11|812|",0,0,1,0,0,0
"ENST00000434233.2|ENSG00000218510.9|OTTHUMG00000193408.2|OTTHUMT00000096539.3|LINC00339-204|LINC00339|929|",0,0,1,0,0,0
"ENST00000634934.2|ENSG00000218510.9|OTTHUMG00000193408.2|OTTHUMT00000488657.1|LINC00339-208|LINC00339|1518|",0,0,1,0,1,0
"ENST00000634712.2|ENSG00000218510.9|OTTHUMG00000193408.2|OTTHUMT00000488658.2|LINC00339-207|LINC00339|1388|",0,0,1,0,1,0
"ENST00000420503.1|ENSG00000218510.9|OTTHUMG00000193408.2|OTTHUMT00000096538.3|LINC00339-203|LINC00339|771|",0,0,1,0,0,0
"ENST00000416769.2|ENSG00000218510.9|OTTHUMG00000193408.2|OTTHUMT00000007795.2|LINC00339-202|LINC00339|1077|",0,0,1,0,0,0
"ENST00000404210.5|ENSG00000218510.9|OTTHUMG00000193408.2|OTTHUMT00000488659.2|LINC00339-201|LINC00339|1189|",0,0,1,0,0,0
"ENST00000652371.1|ENSG00000286061.1|OTTHUMG00000193467.1|OTTHUMT00000501947.1|RCAN3AS-205|RCAN3AS|244|",0,0,1,0,0,0
"ENST00000448015.1|ENSG00000227050.1|OTTHUMG00000003911.1|OTTHUMT00000011174.1|RP11-460I13.2-001|RP11-460I13.2|491|",1,0,1,1,0,0
"ENST00000447507.1|ENSG00000242125.3|OTTHUMG00000003657.2|OTTHUMT00000010375.1|SNHG3-203|SNHG3|185|",0,0,1,0,0,0
